"","公司全名","更新日期","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣公開發行","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%"
"1","三竹資訊","2024-11-18","TWI835566B","2023-02-17","2024-03-11",34,"防止訊息文字內容被複製之裝置與方法","一種防止訊息文字內容被複製之裝置與方法，應用於一客戶端裝置，該方法包含：接收伺服器所傳送之訊息，訊息係包含文字內容；接收複製指令以創建被選取之文字內容的複本，並以金鑰進行加密以產生密文複本，接著將密文複本儲存至剪貼簿；以及，接收解密指令以讀取剪貼簿中的密文複本並以金鑰進行解密，再將解密後的複本寫至應用程式之貼上目的地。本發明使文字類型的訊息被複製後，若貼上至第三方應用程式會以亂碼呈現，若貼上至本發明應用程式中則以解密後的正常明文呈現。","Y2024","main","Yes","資訊安全技術","8284","資訊服務業","2024-11-15",0.82,1.01,3,0.24,10.76,27.38,58,NA,63.4,65.7,60.7,0.00387,89.4
"2","三竹資訊","2024-11-18","TWI835566B","2023-02-17","2024-03-11",34,"防止訊息文字內容被複製之裝置與方法","一種防止訊息文字內容被複製之裝置與方法，應用於一客戶端裝置，該方法包含：接收伺服器所傳送之訊息，訊息係包含文字內容；接收複製指令以創建被選取之文字內容的複本，並以金鑰進行加密以產生密文複本，接著將密文複本儲存至剪貼簿；以及，接收解密指令以讀取剪貼簿中的密文複本並以金鑰進行解密，再將解密後的複本寫至應用程式之貼上目的地。本發明使文字類型的訊息被複製後，若貼上至第三方應用程式會以亂碼呈現，若貼上至本發明應用程式中則以解密後的正常明文呈現。","Y2024","main","Yes","數據加密技術","8284","資訊服務業","2024-11-15",0.82,1.01,3,0.24,10.76,27.38,58,NA,63.4,65.7,60.7,0.00387,89.4
"3","世同投資","2024-11-18","TWI838321B","2023-10-06","2024-04-01",91,"可以維持不同裝置間訊號傳輸的通訊裝置","一種通訊裝置，包含有殼體、蓋體、訊號處理模組以及訊號切換模組。蓋體以可拆卸方式安裝在殼體。訊號處理模組設置在蓋體，其訊號傳輸端子朝向殼體。訊號切換模組設置在殼體，並且包含轉子以及導電片。轉子具有切換元件、腔體、裝置用端口與模組用端口。裝置用端口電連接於前級裝置和/或後級裝置，切換元件以可活動方式設置在腔體內。導電片位於殼體內。導電片在訊號傳輸端子插入模組用端口時受切換元件推抵而分離裝置用端口，另在訊號傳輸端子移出模組用端口時推抵切換元件以接觸裝置用端口，從而維持前級裝置與後級裝置之間的訊號傳輸。","Y2024","main","No","其他",NA,NA,"2024-11-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","世同投資","2024-11-18","TWI838321B","2023-10-06","2024-04-01",91,"可以維持不同裝置間訊號傳輸的通訊裝置","一種通訊裝置，包含有殼體、蓋體、訊號處理模組以及訊號切換模組。蓋體以可拆卸方式安裝在殼體。訊號處理模組設置在蓋體，其訊號傳輸端子朝向殼體。訊號切換模組設置在殼體，並且包含轉子以及導電片。轉子具有切換元件、腔體、裝置用端口與模組用端口。裝置用端口電連接於前級裝置和/或後級裝置，切換元件以可活動方式設置在腔體內。導電片位於殼體內。導電片在訊號傳輸端子插入模組用端口時受切換元件推抵而分離裝置用端口，另在訊號傳輸端子移出模組用端口時推抵切換元件以接觸裝置用端口，從而維持前級裝置與後級裝置之間的訊號傳輸。","Y2024","main","No","無線通訊技術",NA,NA,"2024-11-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","世界先進積體電路","2024-11-18","TWI813294B","2022-05-19","2023-08-21",19,"半導體結構及其製造方法","一種半導體結構，包括一基底、位於該基底中的閘極結構、分別位於相應的閘極結構上的介電部、與此些介電部的側壁相鄰且沿著介電部的側壁延伸的間隔物、位於基底與間隔物之間的源極區、以及位於相鄰的閘極結構之間並與相應的源極區接觸的接觸插塞。此些源極區相鄰於閘極結構。此些間隔物的側壁分別與下方相應的源極區的側壁齊平。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"6","世界先進積體電路","2024-11-18","TWI820979B","2022-10-25","2023-11-01",74,"半導體裝置","一種半導體裝置，包含高電子遷移率電晶體設置在環狀主動元件區中，以及電阻器設置在被環狀主動元件區圍繞的被動元件區中。高電子遷移率電晶體包含化合物半導體阻障層的第一部份堆疊在化合物半導體通道層的第一部份上，以及源極電極、閘極電極和汲極電極設置在化合物半導體阻障層的第一部份上。電阻器包含化合物半導體阻障層的第二部份堆疊在化合物半導體通道層的第二部份上，以及輸入端電極設置在化合物半導體阻障層的第二部份上，且位於被動元件區的中心。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"7","世界先進積體電路","2024-11-18","TWI842323B","2023-01-03","2024-05-11",46,"半導體結構及靜電放電保護裝置","一種半導體結構，包括一基底、一第一井區、一第一摻雜區、一第二摻雜區、一第三摻雜區、一第二井區、一第四摻雜區以及一第五摻雜區。基底具有一第一導電型。第一井區設置於基底之中，並具有一第二導電型。第一摻雜區設置於第一井區之中，並具有第二導電型。第二摻雜區設置於第一井區之中，並具有第一導電型。第三摻雜區設置於第一井區之中，並具有第一導電型。第二井區設置於第一井區之中。第四摻雜區設置於第二井區之中，並具有第一導電型。第五摻雜區設置於第二井區之中，並具有第二導電型。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"8","世界先進積體電路","2024-11-18","TWI844342B","2023-04-25","2024-06-01",50,"光學結構及其形成方法","本揭露提供一種光學結構的形成方法，包括：提供一基板，其中該基板包括一下包覆層以及設置於該下包覆層上的一光通道材料層；對該光通道材料層進行至少一局部氧化製程以形成嵌入該光通道材料層的多個氧化部件；以及進行一圖案化製程以將該光通道材料層圖案化為一光通道層，且在該光通道層的頂部具有一弧面，其中該下包覆層的一介電常數小於該光通道層的一介電常數。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"9","世界先進積體電路","2024-11-18","TWI813294B","2022-05-19","2023-08-21",19,"半導體結構及其製造方法","一種半導體結構，包括一基底、位於該基底中的閘極結構、分別位於相應的閘極結構上的介電部、與此些介電部的側壁相鄰且沿著介電部的側壁延伸的間隔物、位於基底與間隔物之間的源極區、以及位於相鄰的閘極結構之間並與相應的源極區接觸的接觸插塞。此些源極區相鄰於閘極結構。此些間隔物的側壁分別與下方相應的源極區的側壁齊平。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"10","世界先進積體電路","2024-11-18","TWI836689B","2022-11-01","2024-03-21",93,"半導體裝置及其形成方法","一種半導體裝置，包括具有第一導電類型的一基底；形成於前述基底上的一磊晶層，且前述磊晶層具有第一導電類型；自前述磊晶層的頂表面延伸至前述磊晶層中的一溝槽結構，前述溝槽結構包括一導電部以及包覆前述導電部的側壁和底部的一絕緣層；自前述磊晶層的頂表面延伸至前述磊晶層中的一井區，前述井區具有一第二導電類型，且前述井區的第一側壁接觸前述溝槽結構，其中在前述井區的一側和下方為一飄移區，前述飄移區具有第一導電類型且與井區的第二側壁和底表面接觸。半導體裝置更包括形成於前述磊晶層的頂表面上並對應井區的一閘極結構。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
