"","公司全名","更新日期","計算終止日","專利號","申請日","獲證日","PR","標題","專利摘要","主分支","公開發行","技術分類","股票代碼","產業別","收盤時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%","NA"
"1","一休資訊科技","2025-03-03","2025-02-15","TWI869170B","2024-01-16","2025-01-01",68,"資料彙整裝置及其方法","一種資料彙整方法，藉由一電腦裝置來實施，並包含：(A)在接收一待處理資料後，對於該待處理資料之每一筆待處理資訊，將該待處理資訊標記為多種資訊類別中之一者；(B)將該已標記待處理資料作為一待彙整資料；(C)判定是否有接收到另一待處理資料；(D) 當判定出有接收到時，根據該另一待處理資料執行步驟(A)，以獲得另一已標記待處理資料，並將該另一已標記待處理資料及該待彙整資料合併，以獲得新的待彙整資料，回到步驟(C)；(E)當判定出未接收到時，將該待彙整資料作為一目標彙整資料。","main","No","資料管理與優化",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"2","七法","2025-03-03","2025-02-15","TWI845956B","2022-06-02","2024-06-21",40,"資料呈現系統及方法","本案提供一種資料呈現系統，包含伺服器。伺服器與資料來源及用戶端裝置相連結與通訊，且包含資料取得模組、來源資料儲存模組、標記模組及通知資料儲存模組。資料取得模組架構於執行資料擷取作業，自資料來源擷取資料。來源資料儲存模組架構於儲存資料。標記模組架構於進行標記作業，使來源資料儲存模組之資料包含標記，並予以儲存。通知資料儲存模組架構於儲存更新資料。伺服器執行更新資料檢知作業，以檢知標記模組所儲存之資料是否為更新資料，並將包含標記之更新資料載入與顯示於用戶端裝置之使用者介面。","main","No","資料管理與優化",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"3","三和技研","2025-03-03","2025-02-15","TWI870187B","2024-01-03","2025-01-11",73,"晶圓映射機構及包含其之晶圓裝卸機","本發明為一種晶圓映射機構，其用於整合在一晶圓裝卸機(load port)之中，且主要包括：一第一直線驅動模組、一第二直線驅動模組、一支架、以及設置在該支架上的複數個感測器其中。其中，該第一直線驅動模組運轉以帶動該支架沿著一垂直方向進行向上移動或向下，且該第二直線驅動模組運轉以帶動該支架沿著一水平方向進行向前移動或向後移動，藉此方式對容置於一晶圓載盒內的至少一晶圓進行一映射資訊收集。","main","No","半導體製程技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"4","三竹資訊","2025-03-03","2025-02-15","TWI851264B","2023-06-05","2024-08-01",39,"顯示複合式內外盤量能狀態之裝置、方法與電腦程式產品","一種顯示複合式內外盤量能狀態之裝置與方法。該方法應用於一裝置，該裝置包含一處理器、一通訊模組、一記憶體及一螢幕，該方法包含：下載一金融商品之一報價資訊；依據當下每個該報價資訊之一內盤成交量與一外盤成交量計算出一當下累計內外盤差量；於一特定時間區段內依據每個該內盤成交量進而累計成一累計內盤成交量；於該特定時間區段內依據每個該外盤成交量進而累計成一累計外盤成交量；產生具有一第一圖層與一第二圖層之一複合式內外盤量能圖；依據該累計內盤成交量及該累計外盤成交量產生一累計內外盤比量能圖並設置於該第一圖層；依據該當下累計內外盤差量產生一當下累計盤差量能指針並設置於該第二圖層並對應該當下累計內外盤差量之一位置。","main","Yes","交易資料篩選技術","8284","資訊服務業","2025-02-27",0.46,-7.58,3,0.24,10.76,27.38,61.6,NA,66,67,63.8,0.00386,70.7,"TW"
"5","三竹資訊","2025-03-03","2025-02-15","TWI849881B","2023-05-02","2024-07-21",2,"股票回測之資料視覺化裝置與方法","一種股票回測之資料視覺化裝置與方法。該方法包含：與伺服器建立連線；產生回測視圖，並接收金融商品、交易策略與時間區間之選擇以組合成為回測指令；上傳回測指令至伺服器；自伺服器下載對應回測指令的回測資料；自伺服器下載金融商品之歷史報價資料並據以產生單一價位線圖顯示於回測視圖；以及，依據回測資料產生對應的買進符號與賣出符號並標記於價位折線上相對應之位置。","main","Yes","其他","8284","資訊服務業","2025-02-27",0.46,-7.58,3,0.24,10.76,27.38,61.6,NA,66,67,63.8,0.00386,70.7,"TW"
"6","三竹資訊","2025-03-03","2025-02-15","TWI847555B","2023-02-17","2024-07-01",90,"訊息文字內容加入隱形資訊之裝置與方法","一種訊息文字內容加入隱形資訊之裝置與方法，應用於一客戶端裝置，該方法包含：接收伺服器所傳送之訊息並產生訊息視圖，訊息包含文字內容；接收轉傳指令以新建被轉傳訊息並包含該文字內容；依據使用者身份產生身份識別碼並儲存至記憶體；新增字型顏色之屬性至身份識別碼以轉換成隱形資訊並加入至被轉傳訊息之文字內容中之位置；接收發送指令以上傳被轉傳訊息至伺服器；其中，被轉傳訊息之文字內容於螢幕上顯示時，以肉眼無法看見隱形資訊。","main","Yes","其他","8284","資訊服務業","2025-02-27",0.46,-7.58,3,0.24,10.76,27.38,61.6,NA,66,67,63.8,0.00386,70.7,"TW"
"7","三竹資訊","2025-03-03","2025-02-15","TWI849898B","2023-05-11","2024-07-21",71,"最佳五檔量能視覺化之裝置、方法與電腦程式產品","一種最佳五檔量能視覺化之裝置與方法。該裝置包含：一記憶體、一螢幕及一或多個處理器。該記憶體儲存一應用程式，該應用程式包含：一最佳五檔報價模組與一資料視覺化模組。該螢幕用以顯示該應用程式之圖形化使用者介面。該一或多個處理器連接該記憶體與該螢幕並執行該應用程式。其中，該最佳五檔報價模組自一伺服器下載一金融商品之一報價電文，該資料視覺化模組依據該報價電文產生一量能線圖。本發明讓使用者透過最佳五檔量能線圖可快速辨識出最佳五檔各檔之委託單量能變化。","main","Yes","交易資料篩選技術","8284","資訊服務業","2025-02-27",0.46,-7.58,3,0.24,10.76,27.38,61.6,NA,66,67,63.8,0.00386,70.7,"TW"
"8","三竹資訊","2025-03-03","2025-02-15","TWI847875B","2023-09-21","2024-07-01",68,"股票歷史區間資訊視覺化之裝置、方法與電腦程式產品","一種股票歷史區間資訊視覺化之裝置、方法與電腦程式產品。該裝置包含：記憶體、處理器、通訊模組及螢幕，記憶體儲存應用程式，應用程式包含：個股報價模組與歷史區間圖模組；個股報價模組用以自伺服器下載股票之報價電文並據以產生個股報價視圖顯示於螢幕；歷史區間圖模組下載對應時間區段的歷史高值與歷史低值並據以產生歷史區間圖，該歷史區間圖係於端標示出歷史高值並於另一端標示出歷史低值，以及，按尺寸比例於對應最新數值之位置標示醒目標記。藉由本發明可讓使用者透過視覺化效果輕易瞭解某個股資料項其最新數值與歷史高值及歷史低值之間的相對關係。","main","Yes","其他","8284","資訊服務業","2025-02-27",0.46,-7.58,3,0.24,10.76,27.38,61.6,NA,66,67,63.8,0.00386,70.7,"TW"
"9","三竹資訊","2025-03-03","2025-02-15","TWI839118B","2023-02-17","2024-04-11",87,"追蹤被外洩的語音訊息源頭之裝置與方法及其電腦程式產品","一種追蹤被外洩的語音訊息源頭之裝置與方法，應用於一客戶端裝置，該方法包含：依據一帳號與一密碼或一生物辨識特徵以驗證一使用者身份後登入一伺服器；接收該伺服器所傳送之一訊息，該訊息係包含一語音訊息；接收一語音播放指令以一揚聲器播放該語音訊息；以及，依據該使用者身份產生一身份識別語音訊號，並接收該語音訊息之一使用者操作指令以插入該身份識別語音訊號至該語音訊息之中。","main","Yes","其他","8284","資訊服務業","2025-02-27",0.46,-7.58,3,0.24,10.76,27.38,61.6,NA,66,67,63.8,0.00386,70.7,"TW"
"10","三竹資訊","2025-03-03","2025-02-15","TWI844359B","2023-05-11","2024-06-01",84,"最佳五檔量能視覺化與委託單標記之裝置、方法與電腦程式產品","一種最佳五檔量能視覺化與委託單標記之裝置與方法。該裝置包含：一記憶體、一螢幕及一或多個處理器。該記憶體儲存一應用程式，該應用程式包含：一最佳五檔報價模組、一資料視覺化模組、一交易模組與一第二委託單標記模組。該螢幕用以顯示該應用程式之圖形化使用者介面。該一或多個處理器連接該記憶體與該螢幕並執行該應用程式。其中，該最佳五檔報價模組自一伺服器下載一金融商品之一報價電文，該資料視覺化模組依據該報價電文產生一量能線圖，該交易模組產生一第二委託單，該第二委託單標記模組下載對應該第二委託單之一委託回報電文並產生一第二委託單標記顯示於該量能線圖。本發明讓使用者透過最佳五檔量能線圖可快速辨識出最佳五檔各檔之委託單量能變化以及自己的第二委託單所在位置。","main","Yes","交易資料篩選技術","8284","資訊服務業","2025-02-27",0.46,-7.58,3,0.24,10.76,27.38,61.6,NA,66,67,63.8,0.00386,70.7,"TW"
