資料截止日,演化階段,AI分類,申請人,公開公告號,申請日,標題,PR,股票代碼,收盤日,氣動值,單月營收成長,熱度值,季營收年增率%,季毛利年增率%,季營益年增率%,收盤價,法人平均成本,
2026-01-15,decline,AI與自然語言處理,龍騰文化事業,TWM676856U,2025-09-03,檢索增強生成式人工智慧問答系統,,,,,,,,,,,,
2026-01-15,decline,電腦視覺與影像處理,蘇嘉陽,TWM679089U,2025-08-22,一種具備自動偵測同步功能的雙向視訊會議系統裝置,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,廣閎科技,TWM676330U,2025-08-07,半導體裝置,,6693,2026-02-04,0.36,30.17,6,25.59,-1.13,-16.76,89.1,80.8,
2026-01-15,decline,AI晶片與硬體加速器,大陸商上海壁仞科技,TW202548607A,2025-08-01,資料運算裝置及其運算子性能提升方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,加拿大商萬國半導體國際有限合夥公司,TW202602301A,2025-06-18,帶有溝槽內ESD結構的溝槽電晶體的製造,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,英商ARM,TW202601655A,2025-06-16,記憶體的延時最佳化驅逐分配,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,英商ARM,TW202601643A,2025-06-13,用於多埠暫存器檔案之電路,,,,,,,,,,,,
2026-01-15,decline,AI晶片與硬體加速器,南韓商三星電子,TW202548597A,2025-06-09,用於修改深度學習模型架構的方法、由系統單晶片執行的方法以及神經處理單元,,,,,,,,,,,,
2026-01-15,main,先進材料與奈米科技,日商大日本印刷,TW202548413A,2025-05-26,遮罩、遮罩裝置及遮罩裝置之製造方法,,,,,,,,,,,,
2026-01-15,decline,量子電腦與運算,聯發科技,TW202548596A,2025-05-26,混合精度的模型量化方法和系統,,2454,2026-02-04,0.3,22.99,8,7.8,2.74,-7.03,1800,1304.8,
2026-01-15,main,晶圓封裝與測試,台達電子工業,TWM673708U,2025-05-22,IGBT封裝結構,,2308,2026-02-04,0.18,38.59,9,33.97,33.74,51.06,1210,679.4,
2026-01-15,main,半導體結構與製程,日商新電元工業,TW202549515A,2025-05-15,半導體裝置,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商英特爾,TW202602262A,2025-05-14,選擇性模板化對齊凹入式雙金屬閘極圖案化,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,南韓商三星電子,TW202549573A,2025-05-13,多堆疊半導體裝置,,,,,,,,,,,,
2026-01-15,decline,AI與自然語言處理,美商高通公司,TW202548606A,2025-05-12,用於生成式人工智慧／機器學習（ＡＩ／ＭＬ）模型的廣告匹配,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,大陸商長鑫科技集團,TW202547315A,2025-05-09,半導體結構和半導體器件,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,華邦電子,TW202546839A,2025-05-09,記憶裝置與錯誤位址快取及其方法,,2344,2026-02-04,0.27,53.33,9,2.15,62.74,1259.78,108.5,86.2,
2026-01-15,main,半導體設備,美商昂圖創新公司,TW202548420A,2025-05-08,用以減少疊對誤差的計量,,,,,,,,,,,,
2026-01-15,main,電腦視覺與影像處理,日商ZOZO,TW202601554A,2025-04-29,資訊處理裝置、資訊處理方法及資訊處理程式,,,,,,,,,,,,
2026-01-15,main,半導體設備,瑞典商麥可尼克公司,TW202601294A,2025-04-25,具有經改善定位之基板圖案系統,,,,,,,,,,,,
2026-01-15,main,半導體設備,日商斯庫林集團,TW202548442A,2025-04-21,曝光方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商英特爾,TW202549559A,2025-04-18,自對準閘極切割,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,薩摩亞商美科米尚技術,TW202549611A,2025-04-15,製造隔離結構的方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日商京瓷,TW202543425A,2025-04-10,半導體基板及其製造方法,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,美商谷歌有限責任公司,TW202542919A,2025-04-10,備用記憶體中之早期失效偵測,,,,,,,,,,,,
2026-01-15,main,先進材料與奈米科技,日商科盛德光罩,TW202540763A,2025-04-09,反射型空白光罩、反射型光罩及反射型光罩之製造方法,,,,,,,,,,,,
2026-01-15,main,光學元件與光通訊,日商科盛德光罩,TW202540764A,2025-04-09,反射型空白光罩、反射型光罩及反射型光罩的製造方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日商瑞薩電子,TW202604280A,2025-04-08,半導體裝置及其製造方法,,,,,,,,,,,,
2026-01-15,main,邊緣運算,美商松下電器(美國)知識產權公司,TW202548673A,2025-04-08,編碼方法、解碼方法、編碼裝置及解碼裝置,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,新加坡商安靠科技新加坡控股私人,TW202604287A,2025-04-07,電子裝置及製造電子裝置的方法,,,,,,,,,,,,
2026-01-15,main,光學元件與光通訊,荷蘭商ASML荷蘭公司,TW202603510A,2025-04-07,量測來自組件之AC訊號,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202602266A,2025-03-31,半導體元件與其形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,decline,光學元件與光通訊,美商史奈普昂公司,TW202549339A,2025-03-31,工具控制系統中之工具識別碼識別及感測器校準,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202604272A,2025-03-28,半導體裝置結構的製造方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體結構與製程,南韓商三星電子,TW202541614A,2025-03-27,半導體裝置及製造半導體裝置的方法,,,,,,,,,,,,
2026-01-15,main,發光半導體,美商應用材料,TW202604328A,2025-03-27,用於微ＬＥＤ面板的大型晶粒接合平臺,,,,,,,,,,,,
2026-01-15,main,半導體設備,荷蘭商ASML荷蘭公司,TW202548437A,2025-03-27,圖案化裝置電壓偏壓系統,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日商日產化學,TW202603503A,2025-03-26,積層體之製造方法、及半導體元件之製造方法,,,,,,,,,,,,
2026-01-15,main,電源管理,東擎科技,TWM672255U,2025-03-26,電子系統及其資料清除電路,,,,,,,,,,,,
