"","專利號","公司全名","更新日期","計算終止日","申請日","獲證日","標題","專利摘要","主分支","公開發行","技術大類","PR","股票代碼","產業別","收盤時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%","區域"
"1","TW202303603A","大陸商長鑫存儲技術","2025-09-19","2025-09-15","2022-10-03",NA,"控制電路以及半導體記憶體","本發明實施例提供了一種控制電路以及半導體記憶體，該控制電路包括偏置模組，偏置模組配置為向功能模組提供偏置電流；偏置模組包括第一偏置模組和第二偏置模組，第一偏置模組配置為提供第一偏置電流，第二偏置模組配置為提供第二偏置電流；其中，第一偏置電流小於第二偏置電流，第一偏置模組配置為在上電後處於常開狀態，第二偏置模組配置為接收偏置致能訊號並基於偏置致能訊號提供第二偏置電流。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"2","TW202305792A","大陸商長鑫存儲技術","2025-09-19","2025-09-15","2022-10-21",NA,"訊號採樣電路以及半導體記憶體","本發明實施例提供了一種訊號採樣電路以及半導體記憶體，該訊號採樣電路包括：訊號輸入電路，用於確定待處理指令訊號和待處理片選訊號；第一指令採樣電路，用於根據第一時脈訊號對待處理片選訊號進行兩級採樣及邏輯運算處理，得到第一片選時脈訊號；第二指令採樣電路，用於根據第一時脈訊號對待處理片選訊號進行兩級採樣及邏輯運算處理，得到第二片選時脈訊號；指令解碼電路，用於根據待處理片選訊號和第一片選時脈訊號對待處理指令訊號進行解碼和採樣處理，得到目標指令訊號；或者，根據待處理片選訊號和第二片選時脈訊號對待處理指令訊號進行解碼和採樣處理，得到目標指令訊號。","main",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"3","TW202305795A","中國大陸商長鑫存儲技術","2025-09-19","2025-09-15","2022-10-17",NA,"位址更新電路、方法、記憶體和電子設備","本發明實施例公開了一種位址更新電路、方法、記憶體和電子設備，位址更新電路包括：選擇電路和解碼電路；其中，選擇電路用於獲取選通信號、冗餘位址信號和常規位址信號，且用於在第一脈衝期間和第二脈衝期間，基於選通信號，分別選擇冗餘位址信號和常規位址信號中的一個作為目標位址信號；第一脈衝期間和第二脈衝期間屬於同一個更新週期，第二脈衝期間晚於第一脈衝期間；解碼電路，用於對目標位址信號進行解碼，得到並輸出解碼信號。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"4","TW202307847A","大陸商長鑫存儲技術","2025-09-19","2025-09-15","2022-10-26",NA,"單環、雙環記憶體器件和ZQ校準方法","本發明涉及半導體電路設計領域，特別涉及一種單環、雙環記憶體器件和ZQ校準方法，單環記憶體器件包括：主晶片和多個從晶片，設置有第一傳輸端和第二傳輸端；主晶片的第二傳輸端連接第一級從晶片的第一傳輸端，每一級從晶片的第二傳輸端連接下一級從晶片的第一傳輸端；主晶片設置有第一信號接收器，從晶片設置有第二信號接收器；第一信號接收器用於接收ZQ校準命令，主晶片基於ZQ校準命令開始校準，主晶片完成校準後發送ZQ標誌信號；第二信號接收器用於接收ZQ標誌信號，從晶片基於ZQ標誌信號開始校準，從晶片完成校準後發送ZQ標誌信號；本發明通過設計一種新的控制電路，以實現理論上無數量限制的多晶片共用ZQ校準電阻。","main",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"5","TW202309887A","大陸商長鑫存儲技術","2025-09-19","2025-09-15","2022-11-08",NA,"數據接收電路、數據接收系統以及存儲裝置","本發明實施例提供一種數據接收電路、數據接收系統以及存儲裝置，數據接收電路包括：第一放大模組被配置為，接收數據訊號和參考訊號，響應於第一採樣時脈訊號對數據訊號和參考訊號進行比較，並輸出第一電壓訊號和第二電壓訊號；判決反饋控制模組被配置為，響應於使能訊號生成第二採樣時脈訊號；判決反饋均衡模組被配置為，在使能訊號具有第一電平值期間，響應於第二採樣時脈訊號和反饋訊號執行判決反饋均衡，在使能訊號具有第二電平值期間，停止執行判決反饋均衡；第二放大模組被配置為，對第一電壓訊號與第二電壓訊號進行處理，並輸出第一輸出訊號和第二輸出訊號。本發明實施例至少有利於在提高數據接收電路的接收性能的同時降低其功耗。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"6","TW202314370A","日商AGC","2025-09-19","2025-09-15","2022-09-26",NA,"EUV微影用反射型光罩基底及附有導電膜之基板","本發明係關於一種EUV微影用反射型光罩基底，其具有基板、配置於上述基板之背面側之導電膜、配置於上述基板之正面側之反射層、及配置於上述反射層上之吸收層，且上述導電膜之於波長1000～1100 nm下之折射率與消光係數、上述導電膜之於波長600～700 nm下之折射率與消光係數、上述導電膜之於波長400～500 nm下之折射率與消光係數、以及上述導電膜之膜厚t為特定範圍。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"7","TW202314406A","美商應用材料","2025-09-19","2025-09-15","2022-09-22",NA,"用於用非金屬化合物處理光阻劑的方法","本案內容的實施例通常涉及用於增強光阻劑以具有改良的輪廓控制的方法。一種用於處理PR的方法包括：將工件定位在處理腔室的處理區域內，其中該工件含有設置在底層上的圖案化PR；藉由將該工件暴露於順序浸滲合成製程來處理該圖案化PR以產生經處理的圖案化PR，該經處理的圖案化PR比該圖案化PR更緻密和更硬。該SIS製程包括以下項的一或多個浸滲循環：將該圖案化PR暴露於含有矽或硼的前驅物；用該前驅物浸滲該圖案化PR；淨化以去除該前驅物的殘餘物；將該圖案化PR暴露於氧化劑；用該氧化劑浸滲該圖案化PR以產生設置在該圖案化PR的內表面上的氧化物塗層；淨化以去除該氧化劑的殘留物。","branch",NA,"光學元件與光通訊",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"8","TW202314781A","大陸商北京北方華創微電子裝備","2025-09-19","2025-09-15","2022-09-28",NA,"半導體製程設備及晶圓狀態監測方法","一種半導體製程設備，包括製程腔室、控制器和設置在製程腔室中的承載盤，承載盤上設置有用於托舉晶圓的晶圓托舉機構，製程腔室頂部設置有多個距離監測裝置，用於分別監測自身與承載盤上的多個不同位置之間的距離。控制器用於在晶圓托舉機構進行托舉動作的過程中即時獲取多個距離監測裝置的監測結果，並在多個距離監測裝置的監測結果不一致時，判定晶圓的狀態異常。","main",NA,"晶圓封裝與測試",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"9","TW202316483A","日商日本碍子","2025-09-19","2025-09-15","2022-09-29",NA,"晶圓載置台","晶圓載置台10係具備使冷媒流通之冷媒流道的晶圓載置台，該晶圓載置台10具備：上部基材12，具有內置電極26之陶瓷基材20，並於陶瓷基材20之頂面具有晶圓載置面22a；下部基材80，於頂面設有構成冷媒流道之側壁及底的流道溝88；及密封構件16，於上部基材12與下部基材80之間配置成密封冷媒流道18與外部之間。 

A wafer placement table 10 is a wafer placement table that includes a refrigerant flow channel through which refrigerant is flowed and includes a top base 12 including a ceramic base 20 incorporating an electrode 26 and having a wafer placement surface 22a on a top surface of the ceramic base 20, a bottom base 80 on a top surface of which a flow channel groove 88 defining a side wall and a bottom of the refrigerant flow channel is provided, and a seal member 16 disposed between the top base 12 and the bottom base 80 so as to seal the refrigerant flow channel 18 from an outside.","main",NA,"晶圓封裝與測試",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"10","TW202318103A","美商英培雅 | 日商東京威力科創","2025-09-19","2025-09-15","2022-09-23",NA,"增強顯影對比度之方法及基板處理設備","使用氣態對比度增強劑促進對有機金屬輻射敏感組成物之圖案化，對比度增強劑可包含羧酸、醯胺、磺酸、醇、二醇、矽烷基鹵化物、鹵化鍺、鹵化錫、胺、硫醇或其混合物。在對有機金屬組成物進行輻照以形成一潛影像之後，提供與對比度增強反應性化合物之接觸。可在物理圖案顯影前或之後遞送對比度增強劑，且使用對比度增強劑進行處理可包含在熱處理中移除一些或實質上所有的未輻照有機金屬組成物。可在乾式熱顯影步驟中使用對比度增強劑。闡述了利用對比度增強劑實行處理之設備。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
