"","公司全名","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣上市櫃","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本"
"1","世界先進積體電路","TWI836520B","2022-07-21","2024-03-21",99,"半導體裝置及其製造方法","一種半導體裝置，包含第一導電類型的磊晶層設置於基底的表面上，溝槽設置於磊晶層中，閘極結構設置於溝槽內，包含上方導電部和下方導電部，介電分隔部設置於上方導電部和下方導電部之間，介電襯層設置於溝槽內且圍繞閘極結構，介電襯層具有開口位於溝槽的底面，下方導電部的一部分填充於開口中，且下方導電部與磊晶層的一部份構成蕭特基能障二極體，第二導電類型的摻雜區設置於磊晶層中，且位於溝槽的底面下和下方導電部的一側，其中磊晶層的上述部份和摻雜區的一部分皆與下方導電部接觸。","Y2024","main","Yes","半導體結構","5347","半導體","2024-07-26",0.41,30.55,8,17.66,-5.89,-9.69,108.6,100.1,114.7,112.5,106.4
"2","力晶積成電子製造","TWI792874B","2022-01-20","2023-02-11",99,"電晶體結構及其製造方法","一種電晶體結構，包括基底、第一閘極、第二閘極、第一摻雜區、第二摻雜區、源極區與汲極區。第一閘極與第二閘極彼此分離且設置在基底上。第一閘極與基底彼此電性絕緣。第二閘極與基底彼此電性絕緣。第一摻雜區與第二摻雜區彼此分離且位在第一閘極的兩側的基底中。第二摻雜區鄰近於第二閘極。源極區與汲極區彼此分離且位在第一閘極與第二閘極的兩側的基底中。源極區鄰近於第一閘極。汲極區鄰近於第二閘極。第一摻雜區位在源極區與第一閘極之間。第二摻雜區從第一閘極的一側連續地延伸至汲極區且通過第二閘極的正下方。","Y2024","main","Yes","半導體結構","6770","半導體","2024-07-26",0.9,8.49,5,-5.5,-22.26,-420.62,25.8,30.5,26.1,23.15,27.7
"3","南亞科技","TWI833537B","2023-01-04","2024-02-21",99,"製造半導體結構之方法","本揭示內容是關於一種製造半導體結構之方法。方法包括以下操作。形成導電矽層在基板上。形成導電層在導電矽層上。形成具有開口的圖案化光阻層在導電層上。藉由開口蝕刻導電層及導電矽層以形成位元線結構。執行濕清洗製程，其中濕清洗製程包括在20°C至30°C的溫度下以pH值為10至12的溶液清洗位元線結構。","Y2024","main","Yes","半導體結構","2408","半導體","2024-07-26",0.82,36.83,9,47.91,50.08,-1.14,68,66.4,66.8,58.1,67.1
"4","友達光電","TWI799058B","2022-01-05","2023-04-11",99,"顯示基板及其製備方法","本揭露提供一種顯示基板，包含基板、介電層、像素定義層、及底電極層。基板包含第一面，介電層設置於基板的第一面上。像素定義層包含第一擋牆與第二擋牆。多個第一擋牆分別間隔設置且沿著第一方向延伸，多個第二擋牆分別間隔設置且沿著第二方向延伸，第一方向與第二方向相互垂直，第一擋牆與第二擋牆圍繞出多個像素區域。第一擋牆的相鄰三者中，位於中間的第一擋牆垂直投影下方的介電層的厚度，小於第一擋牆的相鄰三者中的其餘二者垂直投影下方的介電層的厚度。底電極層設置於像素區域中的介電層上。本揭露也提供一種顯示基板的製備方法。","Y2024","main","Yes","記憶體架構","2409","光電業","2024-07-26",0.73,9.86,1,16.19,140.39,55.64,18.2,17.4,18.6,18.05,17.9
"5","友達光電","TWI831682B","2023-04-28","2024-02-01",99,"薄膜電晶體及其製作方法","一種薄膜電晶體，包括：半導體層、閘極以及第一絕緣層。半導體層包括：第一通道區、第二通道區、第一高摻雜區、第二高摻雜區、第三高摻雜區、第一低摻雜區以及第二低摻雜區。第一高摻雜區位於第一通道區與第二通道區之間，第一通道區位於第一高摻雜區與第二高摻雜區之間，且第二通道區位於第一高摻雜區與第三高摻雜區之間。第一低摻雜區位於第一通道區與第二高摻雜區之間，且第二低摻雜區位於第二通道區與第三高摻雜區之間。閘極位於半導體層的一側。第一絕緣層位於半導體層與閘極之間。第一高摻雜區的高度小於第二通道區的高度，且第一絕緣層接觸第二通道區的鄰近第一高摻雜區的側表面。此外，還提出一種薄膜電晶體的製作方法。","Y2024","main","Yes","半導體結構","2409","光電業","2024-07-26",0.73,9.86,1,16.19,140.39,55.64,18.2,17.4,18.6,18.05,17.9
"6","台灣積體電路製造","TWI829008B","2021-08-30","2024-01-11",99,"半導體元件及其製造方法","一種方法包括在基板上沉積介電層；在介電層上形成複數碳奈米管；在碳奈米管上形成虛設閘極堆疊；在虛設閘極堆疊的相對側上形成複數閘極間隔件，以及移除虛設閘極堆疊以在閘極間隔件之間形成溝槽。碳奈米管暴露於溝槽。此方法亦包括蝕刻碳奈米管下方的介電層的一部分，其中碳奈米管是懸空的，從而形成圍繞碳奈米管的替代閘極介電層，以及形成圍繞該替代閘極介電層的閘電極。","Y2024","main","Yes","半導體結構","2330","半導體","2024-07-26",0.41,32.9,10,16.52,9.77,7.69,432.2,477.4,895.8,924,543
"7","台灣積體電路製造","TWI843563B","2023-05-12","2024-05-21",99,"半導體裝置及其形成方法","提供一種形成半導體裝置的方法。在基底的第一側處形成電晶體且在所述電晶體旁邊形成第一介電層。穿過第一介電層且在電晶體旁邊形成第一金屬通孔。在基底的第一側之上形成電性連接至電晶體及第一金屬通孔的第一內連線結構。自基底的第二側對基底進行薄化。在基底的第二側處形成電容器且在所述電容器旁邊形成第二介電層。穿過第二介電層及基底形成電性連接至第一金屬通孔的第二金屬通孔。","Y2024","main","Yes","半導體結構","2330","半導體","2024-07-26",0.41,32.9,10,16.52,9.77,7.69,432.2,477.4,895.8,924,543
"8","國立臺灣大學","TWI806274B","2021-12-06","2023-06-21",99,"光偵測元件","在一些範例，對光偵測元件作前處理及/或後處理，以降低其雜訊，從而改善訊躁比(signal-to-noise ratio，SNR)。所提供的光偵測元件對短中紅外光可快速響應，並產生低雜訊、高訊躁比的電流訊號。","Y2024","main","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","恆勁科技","TWI790932B","2022-02-24","2023-01-21",99,"電子封裝件及其製法","一種電子封裝件，係以封裝體包覆複數場效電晶體(FET)與導電柱，且於該封裝體中形成電性連接各該場效電晶體之扇出導電體，並以線路結構之線路電性連接該導電柱與扇出導電體，故可任意設計該場效電晶體的封裝方向，因而增加設計或配置的彈性。本發明復提供該電子封裝件之製法。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","新唐科技","TWI782841B","2021-12-30","2022-11-01",99,"用於透過脈波調變信號進行控制的電路系統的事件偵測控制器與方法","用於透過脈波調變信號進行控制的電路系統的一種事件偵測控制器，其可以在偵測到特定事件時，進行特定事件處置，其中特定事件處置包括停止脈波調變裝置、啟動停止的脈波調變裝置、控制脈波調變裝置改變脈波調變信號、輸出喚醒信號以喚醒電路系統、控制脈波偵測器改變偵測態樣、改變事件判別模組的特定樣式累計出現次數、透過其連接的匯流排輸出控制信號或第一資料信號給周邊裝置與/或透過其連接的匯流排向周邊裝置要求傳送第二資料信號。","Y2024","main","Yes","其他","4919","半導體","2024-07-26",0.5,-18.01,3,-5.44,-2.13,23.74,125.1,129,123.1,115.5,126.3
